pays,titre,note,commentaire,dateSejour,situation,dateCommentaire,photo
1 contribution,Féerique comme toujours. ,5,Féerique comme toujours. ,,,Écrit le 12 décembre 2022,True
1 contribution,trop cher,3,trop cher,déc. 2022, En famille,Écrit le 12 décembre 2022,False
1 contribution,parfait,5,parfait,déc. 2022, En famille,Écrit le 12 décembre 2022,False
"Paris, France16 contributions",Le profit a remplacé la magie,1,Le profit a remplacé la magie,déc. 2022,,Écrit le 11 décembre 2022,False
1 contribution,Horrible,1,Horrible,sept. 2022, En famille,Écrit le 11 décembre 2022,False
"Collonges, France1 contribution",Nuuuul,1,Nuuuul,,,Écrit le 10 décembre 2022,False
"Rodez, France1 contribution",Visite pour l'anniversaire de notre fille,4,Visite pour l'anniversaire de notre fille,déc. 2022, En famille,Écrit le 10 décembre 2022,False
"Hénin-Beaumont, France13 contributions",Très beau séjour,5,Très beau séjour,déc. 2022, En famille,Écrit le 10 décembre 2022,True
1 contribution,très beau séjour,5,très beau séjour,déc. 2022, En solo,Écrit le 10 décembre 2022,False
1 contribution,Aucune organisation,2,Aucune organisation,déc. 2022, En famille,Écrit le 9 décembre 2022,True
"Saint-Gilles, France1 contribution",Trop d’attente aux attractions,3,Trop d’attente aux attractions,déc. 2022, En couple,Écrit le 9 décembre 2022,False
France1 contribution,Racket total et aucune considération,1,Racket total et aucune considération,déc. 2022,,Écrit le 9 décembre 2022,False
1 contribution,Une paranthèse enchantée,5,Une paranthèse enchantée,déc. 2022, En famille,Écrit le 9 décembre 2022,False
6 contributions,Prix trop cher,1,Prix trop cher,nov. 2022, En couple,Écrit le 8 décembre 2022,False
1 contribution,Un goût amer au retour de séjour,3,Un goût amer au retour de séjour,déc. 2022, En couple,Écrit le 8 décembre 2022,True
1 contribution,Adieu la magie,1,Adieu la magie,déc. 2022, En famille,Écrit le 7 décembre 2022,True
1 contribution,Pas pour les handi,1,Pas pour les handi,nov. 2022, Voyage d'affaires,Écrit le 7 décembre 2022,False
3 contributions,Très déçu,1,Très déçu,déc. 2022, En famille,Écrit le 7 décembre 2022,False
"Paris, France77 contributions",Attractions top,4,Attractions top,,,Écrit le 7 décembre 2022,False
Wavre1 contribution,Magique et magnifique saison de Noël !,5,Magique et magnifique saison de Noël !,nov. 2022, En famille,Écrit le 6 décembre 2022,False
Belgique4 contributions,Parc vieillissant à prix exorbitant,2,Parc vieillissant à prix exorbitant,,,Écrit le 6 décembre 2022,False
2 contributions,C était mieux avant,1,C était mieux avant,déc. 2022, En couple,Écrit le 6 décembre 2022,False
12 contributions,Hors de prix,2,Hors de prix,,,Écrit le 6 décembre 2022,True
"Montpellier, France1 contribution",Trop d'attente,2,Trop d'attente,déc. 2022, En famille,Écrit le 5 décembre 2022,False
1 contribution,"Séjour 1parc, 1 jour",5,"Séjour 1parc, 1 jour",déc. 2022, Entre amis,Écrit le 5 décembre 2022,False
"Carnac, France125 contributions",Parfait ...sauf le soir : Horrible,2,Parfait ...sauf le soir : Horrible,déc. 2022, En famille,Écrit le 4 décembre 2022,False
2 contributions,Déçue :(,3,Déçue :(,déc. 2022, En couple,Écrit le 4 décembre 2022,False
14 contributions,Usine à faire de l argent,1,Usine à faire de l argent,,,Écrit le 3 décembre 2022,False
3 contributions,MAGIQUE,5,MAGIQUE,nov. 2022,,Écrit le 2 décembre 2022,True
1 contribution,Expérience catastrophique,1,Expérience catastrophique,nov. 2022, En couple,Écrit le 2 décembre 2022,False
"Rodez, France49 contributions",Disneyland n'est plus Disneyland Paris,2,Disneyland n'est plus Disneyland Paris,nov. 2022, Entre amis,Écrit le 1 décembre 2022,True
